Domain name,Domain type,Agency,Organization name,City,State,Security contact email
redgranitefdwi.gov,Special district,Non-Federal Agency,REDGRANITE AREA FIRE DISTRICT,REDGRANITE,WI,(blank)
resourcecoop-mn.gov,Special district,Non-Federal Agency,Resource Training and Solutions,Sartell,MN,security@resourcecoop-mn.gov
rhanc.gov,Special district,Non-Federal Agency,Raleigh Housing Authority,Raleigh,NC,info@rhaonline.com
rinconwaterca.gov,Special district,Non-Federal Agency,Rincon del Diablo Municipal Water District,Escondido,CA,support@rinconwater.org
ritaohio.gov,Special district,Non-Federal Agency,Regional Income Tax Agency,Brecksville,OH,security@ritaohio.com
roaringforkfire.gov,Special district,Non-Federal Agency,Roaring Fork Fire Rescue,Carbondale,CO,it@roaringforkfire.org
rollingplainsgcd.gov,Special district,Non-Federal Agency,ROLLING PLAINS GROUNDWATER CONSERVATION DISTRICT,MUNDAY,TX,hkuwcd@gmail.com
roywater.gov,Special district,Non-Federal Agency,Roy Water Conservancy District,Riverdale,UT,(blank)
rvss-or.gov,Special district,Non-Federal Agency,Rogue Valley Sewer Services,Central Point,OR,security@rvss-or.gov
samcera.gov,Special district,Non-Federal Agency,SamCERA,Redwood City,CA,samcera-it@samcera.org
sawpa.gov,Special district,Non-Federal Agency,Santa Ana Watershed Project Authority,Riverside,CA,ITstaff@sawpa.org
scaqmd.gov,Special district,Non-Federal Agency,South Coast Air Quality Management District,Diamond Bar,CA,(blank)
scers.gov,Special district,Non-Federal Agency,Sacramento County Employees' Retirement System,Sacramento,CA,Retirement-IT@saccounty.gov
sctfpa.gov,Special district,Non-Federal Agency,South Central Task Force,Steelton,PA,security@sctfpa.gov
sdmetrofire.gov,Special district,Non-Federal Agency,South Davis Metro Fire Service Area,Bountiful,UT,gstewart@sdmetrofire.org
seboh.gov,Special district,Non-Federal Agency,SEB,Parma,OH,david.zarzeczny@parmajustice.net
semrecc.gov,Special district,Non-Federal Agency,Southeastern Massachusetts Regional 911 District,Foxborough,MA,info@se-mass911.org
sfpuc.gov,Special district,Non-Federal Agency,San Francisco Public Utilities Commission,San Francisco,CA,CyberSecurity@sfwater.org
smcvote.gov,Special district,Non-Federal Agency,County of San Mateo - ACRE,San Mateo,CA,acresos@smcacre.org
smfdmn.gov,Special district,Non-Federal Agency,South Metro Fire Department,West St. Paul,MN,lhackett@logis.org
smithsstational-fpd.gov,Special district,Non-Federal Agency,Smiths Station Fire Protection District,Smiths Station,AL,help@smithsstational-fpd.gov
snowshoedistrictwv.gov,Special district,Non-Federal Agency,Snowshoe Resort Community District,Snowshoe,WV,(blank)
sofdwi.gov,Special district,Non-Federal Agency,Southern Ozaukee Fire Department,Mequon,WI,itadmin@ci.mequon.wi.us
sopec-oh.gov,Special district,Non-Federal Agency,Southeast Ohio Public Energy Council,Athens,OH,lsulfridge@sopec-oh.gov
southadamswaterco.gov,Special district,Non-Federal Agency,South Adams County Water and Sanitation District,Staff Directory,CO,jrinkenberger@sacwsd.org
southcoastaqmd.gov,Special district,Non-Federal Agency,aqmd,Diamond Bar,CA,(blank)
southmarengoal.gov,Special district,Non-Federal Agency,South Marengo County Water and Fire Protection Authority,Linden,AL,office@southmarengo.com
southplatterenewco.gov,Special district,Non-Federal Agency,South Platte Renew,Englewood,CO,kallard@englewoodco.gov
southwestkansaslibrarysystem.gov,Special district,Non-Federal Agency,Southwest Kansas Library System,Dodge City,KS,sandrews@swkls.org
srcpa.gov,Special district,Non-Federal Agency,Santa Rosa County Property Appraiser,Milton,FL,security@srcpa.org
srp.gov,Special district,Non-Federal Agency,Salt River Project,Phoenix,AZ,cybersecurity@srpnet.com
ssjid.gov,Special district,Non-Federal Agency,South San Joaquin Irrigation District,Ripon,CA,abuse@ssjid.gov
sslgctx.gov,Special district,Non-Federal Agency,Schertz Seguin Local Government Corporation,Seguin,TX,itteam@seguintexas.gov
starkparks.gov,Special district,Non-Federal Agency,Stark Parks ,Canton,OH,dgordon@starkparks.com
stcharlescountycsfamo.gov,Special district,Non-Federal Agency,St. Charles County Convention & Sports Facilities Authority,St. Charles,MO,paulfwoody@gmail.com
stlucieclerk.gov,Special district,Non-Federal Agency,St. Lucie County Clerk & Comptroller,Fort Pierce,FL,security@stlucieclerk.com
stmfdky.gov,Special district,Non-Federal Agency,St Matthews Fire Protection District,Louisville,KY,technology@stmfdky.gov
stonewallwcidtx.gov,Special district,Non-Federal Agency,Stonewall WCID,Stonewall,TX,henry.rohlfs@gmail.com
stvrainsdco.gov,Special district,Non-Federal Agency,St Vrain Sanitation District,Firestone,CO,heidi@stsan.com
summitcountyboe.gov,Special district,Non-Federal Agency,Summit County Board of Elections,Akron,OH,it@summitcountyboe.gov
svlh.gov,Special district,Non-Federal Agency,St. Vrain and Left Hand Water Conservancy District,Longmont,CO,sean.cronin@svlhwcd.org
svsewerut.gov,Special district,Non-Federal Agency,South Valley Sewer District,Bluffdale,UT,SVSDIT@svsewer.com
swa-il.gov,Special district,Non-Federal Agency,Southland Water Agency,South Holland,IL,Security@southholland.org
swcleanair.gov,Special district,Non-Federal Agency,Southwest Clean Air Agency,Vancouver,WA,chip@swcleanair.org
swocaoh.gov,Special district,Non-Federal Agency,SouthWest Ohio Computer Association COG,Hamilton,OH,net@swoca.net
tbid.gov,Special district,Non-Federal Agency,Taylorsville-Bennion Improvement District,Taylorsville,UT,mark@tbid.org
tbld.gov,Special district,Non-Federal Agency,Tensas Basin Levee District,Monroe,LA,jason.mcmillin@la.gov
techsharetx.gov,Special district,Non-Federal Agency,TechShare Local Government Corporation,Austin,TX,it.helpdesk@cuc.org
texascountymo911.gov,Special district,Non-Federal Agency,Texas County Emergency Services,Houston,MO,kdrake@cbs-solutions.com
tha.gov,Special district,Non-Federal Agency,Topeka Housing Authority,Topeka,KS,(blank)
thermalitowsca.gov,Special district,Non-Federal Agency,Thermalito Water & Sewer District,Oroville,CA,support@stratti.com
thprd.gov,Special district,Non-Federal Agency,Tualatin Hills Park & Recreation District,Beaverton,OR,InformationServices@thprd.org
tooelecountyvotes.gov,Special district,Non-Federal Agency,Tooele County,Tooele,UT,smcdonald@tooeleco.org
townofbrazeauwi.gov,Special district,Non-Federal Agency,Town of Brazeau,Pound,WI,technician@uescomp.com
traviscoesd1tx.gov,Special district,Non-Federal Agency,Travis County Emergency Services District 1,Lago Vista,TX,aellis@tcesd1.org
tricountyconservancy-in.gov,Special district,Non-Federal Agency,Tri County Conservancy District,Plainfield,IN,mike.clemmons@bytecafe.net
tricountyhealthut.gov,Special district,Non-Federal Agency,TriCounty Health Department,Vernal,UT,jeremy@keystoneads.com
tvfr.gov,Special district,Non-Federal Agency,Tualatin Valley Fire & Rescue,Tigard,OR,security@tvfr.com
txhb.gov,Special district,Non-Federal Agency,Texas Multistate Intergovernmental Employee Benefits Pool,Austin,TX,infrastructure@tmlhb.org
umripd.gov,Special district,Non-Federal Agency,Upper Mississippi River International Port District,Savanna,IL,lance.larsen@icloud.com
utahlake.gov,Special district,Non-Federal Agency,Utah Lake Authority,Provo,UT,info@utahlake.gov
utahtrust.gov,Special district,Non-Federal Agency,Utah Local Governments Trust,North Salt Lake,UT,info@utahtrust.gov
utleg.gov,Special district,Non-Federal Agency,Utah State Legislature,Salt Lake City,UT,security@le.utah.gov
vcpa.gov,Special district,Non-Federal Agency,Volusia County Property Appraiser,DeLand,FL,vcpa_it@volusia.org
vipaairportsp3.gov,Special district,Non-Federal Agency,Virgin Islands Port Authority,St Thomas,VI,nscatliffe@viport.com
visionzerocfl.gov,Special district,Non-Federal Agency,MetroPlan Orlando,Orlando,FL,jloschiavo@metroplanorlando.org
volusiaelections.gov,Special district,Non-Federal Agency,Volusia County Supervisor of Elections Office,DeLand,FL,(blank)
volusiasheriff.gov,Special district,Non-Federal Agency,Volusia County Sheriff's Office,Deland,FL,security@volusiasheriff.gov
volusiavotes.gov,Special district,Non-Federal Agency,Volusia County Supervisor of Elections Office,DeLand,FL,elections@volusia.org
votecalhounfl.gov,Special district,Non-Federal Agency,Calhoun County Supervisor of Elections,Blountstown,FL,soe@votecalhoun.com
votecolumbiafl.gov,Special district,Non-Federal Agency,Columbia County Supervisor of Elections,Lake City,FL,kbanner@votecolumbia.com
voteindianriver.gov,Special district,Non-Federal Agency,Indian River County Supervisor of Elections,Vero Beach,FL,dcruz@voteindianriver.gov
voteks.gov,Special district,Non-Federal Agency,Kansas Secretary of State,Topeka,KS,kssos.support02@ks.gov
votenassaufl.gov,Special district,Non-Federal Agency,Nassau County Supervisor of Elections,Yulee,FL,it@votenassaufl.gov
voteseminole.gov,Special district,Non-Federal Agency,Seminole County Supervisor of Elections,Sanford,FL,security@voteseminole.org
votewalton.gov,Special district,Non-Federal Agency,Walton County Supervisor of Elections,DeFuniak Springs,FL,websupport@vrsystems.com
vrtidaho.gov,Special district,Non-Federal Agency,Valley Regional Transit,Meridian,ID,jmundell@valleyregionaltransit.org
vvwraca.gov,Special district,Non-Federal Agency,Victor Valley Wastewater Reclamation Authority,Victorville,CA,InfoSec@vvwra.com
walnutvalleywater.gov,Special district,Non-Federal Agency,Walnut Valley Water District,Walnut,CA,rwoodruff@wvwd.com
wanorthshoreny.gov,Special district,Non-Federal Agency,Water Authority of North Shore,Glen Head,NY,webmaster@scwa.com
waterville-estatesnh.gov,Special district,Non-Federal Agency,Waterville Estates Village District,Campton,NH,wea.judy@waterville-estates.com
wcnyh.gov,Special district,Non-Federal Agency,Waterfront Commission of New York Harbor,New York,NY,DMurillo@wcnyh.gov
wcwcd.gov,Special district,Non-Federal Agency,Washington County Water Conservancy District,St. George,UT,it@wcwcd.org
weber911.gov,Special district,Non-Federal Agency,Weber Area 911 Dispatch,Ogden,UT,ithelp@weber911.org
weberbasin.gov,Special district,Non-Federal Agency,Weber Basin Water Conservancy District,Layton,UT,gpierce@weberbasin.com
westernriversidecog.gov,Special district,Non-Federal Agency,Western Riverside Council of Governments,Riverside,CA,support@twintel.net
westernwaterca.gov,Special district,Non-Federal Agency,Western Municipal Water District,Riverside,CA,helpdesk@wmwd.com
westvalleyfiremt.gov,Special district,Non-Federal Agency,West Valley Fire Rescue,Helena,MT,westvalleyfirerescue@gmail.com
whitecountytnvotes.gov,Special district,Non-Federal Agency,White County Election Commission,Sparta,TN,(blank)
winneconnesd3wi.gov,Special district,Non-Federal Agency,Town Sanitary District #3 of the Town of Winneconne,Winneconne,WI,techasst@winhaven.net
wvpebd.gov,Special district,Non-Federal Agency,West Virginia State Board of Registration for Professional Engineers,Charleston,WV,lesley@wvpebd.org
yavapaivotes.gov,Special district,Non-Federal Agency,County of Yavapai ITS,Prescott,AZ,ITS-SecurityTeam@yavapaiaz.gov
ylwd.gov,Special district,Non-Federal Agency,Yorba Linda Water District,Placentia,CA,it@ylwd.com
bcvwd.gov,Special district,,Beaumont-Cherry Valley Water District,Beaumont,CA,(blank)
cannonriverwatershedmn.gov,Special district,,Cannon River Watershed Joint Powers Organization,Faribault,MN,emmie.scheffler@riceswcd.org
