Domain name,Domain type,Agency,Organization name,City,State,Security contact email
ctprobate.gov,State or territory,Non-Federal Agency,"State of Connecticut, Office of the Probate Court Administrator",West Hartford,CT,(blank)
cybersafetn.gov,State or territory,Non-Federal Agency,State of Tennese,nashville,TN,(blank)
cybertn.gov,State or territory,Non-Federal Agency,State of Tenessee,Nashville,TN,curtis.clan@tn.gov
da16co.gov,State or territory,Non-Federal Agency,DISTRICT ATTORNEY'S OFFICE - 16TH JUDICIAL DISTRICT,LA JUNTA,CO,avigil@da16co.gov
dcappeals.gov,State or territory,Non-Federal Agency,DC Court Of Appeals,Washington,DC,david.simpson@dcsc.gov
dccode.gov,State or territory,Non-Federal Agency,Council of the District of Columbia,Washington,DC,(blank)
dccouncil.gov,State or territory,Non-Federal Agency,Council of the District of Columbia,Washington,DC,(blank)
dccourt.gov,State or territory,Non-Federal Agency,Superior Court of DC,Washington,DC,(blank)
dccourts.gov,State or territory,Non-Federal Agency,Superior Court of DC,Washington,DC,(blank)
dccrts.gov,State or territory,Non-Federal Agency,Superior Court of DC,Washington,DC,mark.ritchey@dcsc.gov
dccsystem.gov,State or territory,Non-Federal Agency,Superior Court of DC,Washington,DC,david.simpson@dcsc.gov
dc.gov,State or territory,Non-Federal Agency,Government of the District of Columbia,Washington,DC,(blank)
dcradio.gov,State or territory,Non-Federal Agency,OCTFME,Washington,DC,(blank)
dcsc.gov,State or territory,Non-Federal Agency,Superior Court of DC,Washington,DC,(blank)
debtreportingiowa.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
de.gov,State or territory,Non-Federal Agency,Department of Technology and Information,Dover,DE,soc@delaware.gov
delanomn.gov,State or territory,Non-Federal Agency,City of Delano,Delano,MN,phartwig@logis.org
delaware.gov,State or territory,Non-Federal Agency,Department of Technology and Information,Dover,DE,soc@delaware.gov
delawareinsurance.gov,State or territory,Non-Federal Agency,Department of Technology and Information,Dover,DE,soc@delaware.gov
deldot.gov,State or territory,Non-Federal Agency,State of Delaware,Dover,DE,soc@delaware.gov
del.gov,State or territory,Non-Federal Agency,Department of Technology and Information,Dover,DE,soc@delaware.gov
devazdhs.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,Phoenix,AZ,(blank)
devazdot.gov,State or territory,Non-Federal Agency,Arizona Department of Transportation,Phoenix,AZ,tbranham@azdot.gov
devaz.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",Phoenix,AZ,websecurity@azdoa.gov
dojmt.gov,State or territory,Non-Federal Agency,Montana Department of Justice,Helena,MT,dojsecurity@mt.gov
doseofrealitywi.gov,State or territory,Non-Federal Agency,Wisconsin Department of Justice,Madison,WI,dhsdcts@dhs.wisconsin.gov
drivebakedgetbustedfl.gov,State or territory,Non-Federal Agency,Florida Department of Highway Safety and Motor Vehicles,Tallahassee,FL,enterprisesecurityteam@flhsmv.gov
drivenc.gov,State or territory,Non-Federal Agency,North Carolina Department Of Transportation,Raleigh,NC,(blank)
earnandlearniowa.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
educateiowa.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
efiledcsuperiorcourt.gov,State or territory,Non-Federal Agency,Superior Court of DC,Washington,DC,david.simpson@dcsc.gov
efilemaine.gov,State or territory,Non-Federal Agency,Maine Judicial Branch,Augusta,ME,david.j.plourde@courts.maine.gov
efiletexas.gov,State or territory,Non-Federal Agency,Office of Court Administration,Austin,TX,oca-issecurityteam@txcourts.gov
ehawaii.gov,State or territory,Non-Federal Agency,"State of Hawaii, DAGS/ETS",Honolulu,HI,(blank)
elearningnc.gov,State or territory,Non-Federal Agency,"Office of the Lt. Governor, eLearning Commission",Raleigh,NC,(blank)
employnv.gov,State or territory,Non-Federal Agency,"State of Nevada, DETR",Carson City,NV,(blank)
endteenvapingfl.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
energyswitchma.gov,State or territory,Non-Federal Agency,Department of Public Utilities,Boston,MA,(blank)
esatn.gov,State or territory,Non-Federal Agency,State of Tennessee,Nashville,TN,Cyber.Security@tn.gov
esmi.gov,State or territory,Non-Federal Agency,State of Michigan,Lansing,MI,abuse@michigan.gov
everyveterancountsohio.gov,State or territory,Non-Federal Agency,"State of Ohio, DAS",Ohio,OH,domain.manager@das.ohio.gov
ewyoming.gov,State or territory,Non-Federal Agency,State of Wyoming,Cheyenne,WY,ets-security@wyo.gov
fdacs.gov,State or territory,Non-Federal Agency,Florida Department of Agriculture and Consumer Services,Tallahassee,FL,helpdesk@fdacs.gov
fdot.gov,State or territory,Non-Federal Agency,FL Dept of Transportation,Tallahassee,FL,infosec@dot.state.fl.us
filelocal-wa.gov,State or territory,Non-Federal Agency,FileLocal,Seattle,WA,FileLocalTeam@seattle.gov
findmassmoney.gov,State or territory,Non-Federal Agency,Massachusetts Office of the Treasurer and Receiver General ,Boston,MA,tre-network-notify-dl@tre.state.ma.us
findnhmoney.gov,State or territory,Non-Federal Agency,New Hampshire State Treasury,Concord,NH,(blank)
firstnetme.gov,State or territory,Non-Federal Agency,State of Maine,Augusta,ME,DotGov-Domain-Security.MaineIT@maine.gov
firstthingsfirstaz.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",Phoenix,AZ,(blank)
fishohio.gov,State or territory,Non-Federal Agency,State of Ohio,Columbus,OH,(blank)
flauditor.gov,State or territory,Non-Federal Agency,Auditor General - State of Florida,Tallahassee,FL,MikeMathis@aud.state.fl.us
flboardofmedicine.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
flcma.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,dale.wann@flhealth.gov
flcourts1.gov,State or territory,Non-Federal Agency,First Judicial Circuit,Pensacola,FL,craig.vanbrussel@flcourts1.gov
flcourts.gov,State or territory,Non-Federal Agency,Office of Information Technology,Tallahassee,FL,oitsecurity@flcourts.org
fldjj.gov,State or territory,Non-Federal Agency,Department Of Juvenile Justice,Tallahassee,FL,ISM@djj.state.fl.us
fldoi.gov,State or territory,Non-Federal Agency,Florida Department of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
flgaming.gov,State or territory,Non-Federal Agency,Florida Gaming Control Commission,Tallahassee,FL,FGCCInfrastructureandSupport@fgcc.fl.gov
fl.gov,State or territory,Non-Federal Agency,State of Florida / Dept. of management Services,Tallahassee,FL,(blank)
flhealthcharts.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,dale.wann@flhealth.gov
flhealthcomplaint.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
flhealthcovid19.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
flhealth.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
flhealthsource.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
flhistoriccapitol.gov,State or territory,Non-Federal Agency,The Florida Legislature,Tallahassee,FL,hanson.daniel@leg.state.fl.us
flhouse.gov,State or territory,Non-Federal Agency,Florida House of Representatives,Tallahassee,FL,(blank)
flhsmv.gov,State or territory,Non-Federal Agency,Florida Department of Highway Safety and Motor Vehicles,Tallahassee,FL,ScottMorgan@flhsmv.gov
flleg.gov,State or territory,Non-Federal Agency,FL Legislature - OLITS,Tallahassee,FL,hanson.daniel@leg.state.fl.us
fllegislativemailings.gov,State or territory,Non-Federal Agency,The Florida Legislature,Tallahassee,FL,endress.bob@flsenate.gov
flofr.gov,State or territory,Non-Federal Agency,Florida Department of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
floir.gov,State or territory,Non-Federal Agency,Florida Department of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
flopenwallet.gov,State or territory,Non-Federal Agency,Florida Department of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
floridaabusehotline.gov,State or territory,Non-Federal Agency,Florida Department of Children & Families,Tallahassee,FL,(blank)
floridabrightfutures.gov,State or territory,Non-Federal Agency,Florida Department of Education,Tallahassee,FL,bryan.hudnall@fldoe.org
floridacrashportal.gov,State or territory,Non-Federal Agency,Florida Department of Highway Safety and Motor Vehicles,Tallahassee,FL,ScottMorgan@flhsmv.gov
floridados.gov,State or territory,Non-Federal Agency,Florida Department of State,Tallahassee,FL,Security@dos.myflorida.com
floridaelectionwatch.gov,State or territory,Non-Federal Agency,Florida Department of State,Tallahassee,FL,Security@dos.myflorida.com
floridaethics.gov,State or territory,Non-Federal Agency,Florida Legislature,TALLAHASSEE,FL,hanson.daniel@leg.state.fl.us
floridafx.gov,State or territory,Non-Federal Agency,Agency for Health Care Administration,Tallahassee,FL,william.armstrong@ahca.myflorida.com
floridagio.gov,State or territory,Non-Federal Agency,FL Department of Environmental Protection,Tallahassee,FL,depwebmaster@dep.state.fl.us
florida.gov,State or territory,Non-Federal Agency,State of Florida / Dept. of Management Services,Tallahassee,FL,(blank)
floridahealthcareconnections.gov,State or territory,Non-Federal Agency,Agency for Health Care Administration,Tallahassee,FL,william.armstrong@ahca.myflorida.com
floridahealthcovid19.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridahealthfinder.gov,State or territory,Non-Federal Agency,Agency for Health Care Administration,Tallahassee,FL,william.armstrong@ahca.myflorida.com
floridahealth.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridahousemedia.gov,State or territory,Non-Federal Agency,The Florida House of Representatives,Tallahassee,FL,Quintin.Hassell@myfloridahouse.gov
floridalobbyist.gov,State or territory,Non-Federal Agency,Office of Legislative Information Technology Services,Tallahassee,FL,hanson.daniel@leg.state.fl.us
floridapace.gov,State or territory,Non-Federal Agency,Florida PACE Funding Agency,Sarasota,FL,mike@southernskyenergy.com
floridaredistricting.gov,State or territory,Non-Federal Agency,Florida House of Representatives,Tallahassee,FL,doug.mcdaniel@myfloridahouse.gov
floridasacupuncture.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasathletictraining.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridaschiropracticmedicine.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasclinicallabs.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasdentistry.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasenate.gov,State or territory,Non-Federal Agency,The Florida Senate,Tallahassee,FL,endress.bob@flsenate.gov
floridashealth.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridashearingaidspecialists.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasmassagetherapy.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasmentalhealthprofessions.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasnursing.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasnursinghomeadmin.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasoccupationaltherapy.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasoptometry.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasorthotistsprosthetists.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasosteopathicmedicine.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridaspharmacy.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasphysicaltherapy.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridaspodiatricmedicine.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasrespiratorycare.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasspeechaudiology.gov,State or territory,Non-Federal Agency,Florida Department of Health,Tallahassee,FL,(blank)
floridasunshine.gov,State or territory,Non-Federal Agency,Florida Governor's Office,Tallahassee,FL,(blank)
floridatreasurehunt.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
floridaunclaimedfunds.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
floridaunclaimedproperty.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
flpd6.gov,State or territory,Non-Federal Agency,6th Judicial Circuit Office of the Public Defender,Clearwater,FL,PubDefInfosys@co.pinellas.fl.us
flsa6.gov,State or territory,Non-Federal Agency,"State Attorney's Office, Sixth Judicial Circuit",Clearwater,FL,mpatterson@co.pinellas.fl.us
flsenate.gov,State or territory,Non-Federal Agency,The Florida Senate,Tallahassee,FL,endress.bob@flsenate.gov
flsunshine.gov,State or territory,Non-Federal Agency,Florida Governor's Office,Tallahassee,FL,(blank)
fltreasurehunt.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
flunclaimedfunds.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
flunclaimedproperty.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
foia-dc.gov,State or territory,Non-Federal Agency,Executive Office of the Mayor ,Washington,DC,(blank)
foiaxpress-dc.gov,State or territory,Non-Federal Agency,Executive Office of the Mayor ,Washington,DC,(blank)
fortlauderdale.gov,State or territory,Non-Federal Agency,City of Ft. Lauderdale,Fort Lauderdale,FL,abuse@fortlauderdale.gov
frames.gov,State or territory,Non-Federal Agency,University of Idaho,Moscow,ID,support@frames.gov
futurereadyiowa.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
ga.gov,State or territory,Non-Federal Agency,Georgia Technology Authority,Atlanta,GA,Gacyber@gta.ga.gov
gajqc.gov,State or territory,Non-Federal Agency,Georgia Judicial Qualifications Commission ,Atlanta,GA,ben.luke@georgiacourts.gov
galaw.gov,State or territory,Non-Federal Agency,"Georgia Department of Law, Office of the Attorney General",Atlanta,GA,it2@law.ga.gov
gaprobate.gov,State or territory,Non-Federal Agency,Judicial Council of Georgia / Council of Probate Court Judges,Atlanta,GA,ben.luke@georgiacourts.gov
gatrees.gov,State or territory,Non-Federal Agency,Georgia Forestry Commission,Dry Branch,GA,(blank)
gearupiowa.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
gearuptn.gov,State or territory,Non-Federal Agency,State of Tennessee,Nashville,TN,Cyber.Security@tn.gov
georgiaaccess.gov,State or territory,Non-Federal Agency,Office of Commissioner of Insurance and Fire Safety,Atlanta,GA,hvenkatachalam@georgiaaccess.ga.gov
georgiacourts.gov,State or territory,Non-Federal Agency,Administrative Office of the Courts of Georgia,Atlanta,GA,(blank)
georgia.gov,State or territory,Non-Federal Agency,Georgia Technology Authority,Atlanta,GA,Gacyber@gta.ga.gov
getcoveredillinois.gov,State or territory,Non-Federal Agency,"Office of the Governor, Illinois Health Insurance Marketplace",Chicago,IL,stephen.underwood@illinois.gov
getkansasbenefits.gov,State or territory,Non-Federal Agency,Kansas Department of Labor,Topeka,KS,KISO@ks.gov
getleanflorida.gov,State or territory,Non-Federal Agency,Florida Department of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
gisservicemt.gov,State or territory,Non-Federal Agency,Montana State Library,Helena,MT,(blank)
gistestservicemt.gov,State or territory,Non-Federal Agency,Montana State Library,Helena,MT,(blank)
govmi.gov,State or territory,Non-Federal Agency,Department of Technology Management and Budget,Lansing,MI,abuse@michigan.gov
govotecolorado.gov,State or territory,Non-Federal Agency,Colorado Department of State,Denver,CO,cybersecurity@coloradosos.gov
govotetn.gov,State or territory,Non-Federal Agency,State of Tennessee,Nashville,TN,Cyber.Security@tn.gov
greatiowatreasurehunt.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
grownjkids.gov,State or territory,Non-Federal Agency,Department of Human Services Division of Family Development,Trenton,NJ,(blank)
guamcourts.gov,State or territory,Non-Federal Agency,Judiciary of Guam,Hagatna,GU,misadmin@guamcourts.org
guam.gov,State or territory,Non-Federal Agency,"Office of Technology, Government of Guam",Agana,GU,(blank)
h2gonc.gov,State or territory,Non-Federal Agency,Brunswick Regional Water and Sewer H2GO,Leland,NC,BRWS@H2GOonline.com
hawaii.gov,State or territory,Non-Federal Agency,"State of Hawaii, DAGS/ETS",Honolulu,HI,(blank)
healthearizona.gov,State or territory,Non-Federal Agency,Arizona Health Care Cost Containment System,Phoenix,AZ,(blank)
health-e-arizona-plus.gov,State or territory,Non-Federal Agency,Arizona Health Care Cost Containment System,Phoenix,AZ,(blank)
health-e-arizonaplus.gov,State or territory,Non-Federal Agency,Arizona Health Care Cost Containment System,Phoenix,AZ,(blank)
healthearizonaplus.gov,State or territory,Non-Federal Agency,Arizona Health Care Cost Containment System,Phoenix,AZ,(blank)
healthvermont.gov,State or territory,Non-Federal Agency,Vermont Department of Information and Innovation on behalf of Vermont Dept of Health,Burlington,VT,scott.carbee@vermont.gov
healthysd.gov,State or territory,Non-Federal Agency,State of South Dakota,Pierre,SD,socalerts@state.sd.gov
hi.gov,State or territory,Non-Federal Agency,"State of Hawaii, DAGS/ETS",Honolulu,HI,(blank)
hireacoloradovet.gov,State or territory,Non-Federal Agency,Colorado Dept Labor and Employment,Denver,CO,(blank)
homebaseiowa.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iable.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
ia.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iahealthlink.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iaschoolperformance.gov,State or territory,Non-Federal Agency,OCIO - State of Iowa,Des Moines,IA,soc@iowa.gov
iavoters.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,(blank)
idaho.gov,State or territory,Non-Federal Agency,"State of Idaho, Office of Information Technology Services",Boise,ID,hostmaster@idaho.gov
idahoprepares.gov,State or territory,Non-Federal Agency,"State of Idaho, Office of Information Technology Services",Boise,ID,hostmaster@idaho.gov
idahovotes.gov,State or territory,Non-Federal Agency,"State of Idaho, Office of Information Technology Services",Boise,ID,hostmaster@idaho.gov
idahoworks.gov,State or territory,Non-Federal Agency,"State of Idaho, Office of Information Technology Services",Boise,ID,hostmaster@idaho.gov
id.gov,State or territory,Non-Federal Agency,"State of Idaho, Office of Information Technology Services",Boise,ID,hostmaster@idaho.gov
ilag.gov,State or territory,Non-Federal Agency,Illinois Attorney General,Chicago,IL,rms@ilag.gov
ilcourthelp.gov,State or territory,Non-Federal Agency,Administrative Office of the Illinois Courts,Chicago,IL,(blank)
ilga.gov,State or territory,Non-Federal Agency,Legislative Information System,Springfield,IL,webmaster@ilga.gov
il.gov,State or territory,Non-Federal Agency,State of Ilinois,Springfield,IL,Doit.security@illinois.gov
illinoisattorneygeneral.gov,State or territory,Non-Federal Agency,Illinois Attorney General,Chicago,IL,rms@atg.state.il.us
illinoiscomptroller.gov,State or territory,Non-Federal Agency,State of Illinois Comptroller,Springfield,IL,(blank)
illinoiscourtscommission.gov,State or territory,Non-Federal Agency,Illinois Courts Commission,Chicago,IL,sbethune@illinoiscourts.gov
illinoiscourts.gov,State or territory,Non-Federal Agency,Administrative Office of the Illinois Courts,Springfield,IL,srobertson@illinoiscourts.gov
illinois.gov,State or territory,Non-Federal Agency,State of Illinois,Springfield,IL,Doit.security@illinois.gov
illinoisretirement.gov,State or territory,Non-Federal Agency,Illinois State Treasurer's Office,Springfield,IL,JDaniels@illinoistreasurer.gov
illinoistreasurer.gov,State or territory,Non-Federal Agency,Illinois State Treasurer's Office,Springfield,IL,(blank)
ilsos.gov,State or territory,Non-Federal Agency,Illinois Secretary of State,Springfield,IL,SecurityAdministrator@ilsos.net
imagineokla.gov,State or territory,Non-Federal Agency,"Oklahoma, Office of Management and Enterprise Services",OKLAHOMA CITY,OK,cybercommand@omes.ok.gov
incourts.gov,State or territory,Non-Federal Agency,Indiana Office of Technology,Indianapolis,IN,cybersec@courts.in.gov
indiana.gov,State or territory,Non-Federal Agency,State of Indiana,Indianapolis,IN,IOTOperationalSecurity@iot.in.gov
indianajail.gov,State or territory,Non-Federal Agency,Indiana Supreme Court,Indianapolis,IN,cybersec@courts.in.gov
indianaunclaimed.gov,State or territory,Non-Federal Agency,Indiana Office of the Attorney General,Indianapolis,IN,(blank)
in.gov,State or territory,Non-Federal Agency,State of Indiana,Indianapolis,IN,iotwass@iot.in.gov
innocencecommission-nc.gov,State or territory,Non-Federal Agency,The North Carolina Innocence Inquiry Commission,Raleigh,NC,(blank)
innovateohio.gov,State or territory,Non-Federal Agency,State of Ohio,Columbus,OH,domain.manager@das.ohio.gov
innovateohioplatform.gov,State or territory,Non-Federal Agency,State of Ohio,Columbus,OH,domain.manager@das.ohio.gov
investiniowa.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
iowaaging.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowaagriculture.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowaattorneygeneral.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowaboilers.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
iowachildlabor.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
iowachildsupport.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowacleanair.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowacollegeaid.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowacontractor.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
iowacore.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowacourts.gov,State or territory,Non-Federal Agency,Iowa Judicial Branch,Des Moines,IA,Help.Desk@iowacourts.gov
iowaculture.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowadivisionoflabor.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowadnr.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowadol.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowadot.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowaelectrical.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowaelevators.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowafinanceauthority.gov,State or territory,Non-Federal Agency,Iowa Finance Authority,Des Moines,IA,abuse@IOWAFINANCEAUTHORITY.GOV
iowaforms.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowafraudfighters.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowa.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowagrants.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowagreatplaces.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowahumanitiescouncil.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowaintex.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowajnc.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,Help.Desk@iowacourts.gov
iowajqc.gov,State or territory,Non-Federal Agency,Iowa Judicial Branch,Des Moines,IA,Help.Desk@iowacourts.gov
iowalabor.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
iowalift.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
iowalmi.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
iowamissingpersons.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowaosha.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowasexoffender.gov,State or territory,Non-Federal Agency,OCIO - State of Iowa,Des Moines,IA,soc@iowa.gov
iowasmokefreeair.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowatest.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowatitleguaranty.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowatreasurer.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowawage.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
iowawdb.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
iowaworkcomp.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowaworkforcedevelopment.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowaworkforce.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,Des Moines,IA,soc@iowa.gov
iowaworksforveterans.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
iowaworks.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
ius.gov,State or territory,Non-Federal Agency,"State of Idaho, Office of Information Technology Services",Boise,ID,hostmaster@idaho.gov
jobs4tn.gov,State or territory,Non-Federal Agency,State of Tennessee,Nashville,TN,Cyber.Security@tn.gov
jobsfortn.gov,State or territory,Non-Federal Agency,State of Teneessee,Nashville,TN,Cyber.Security@tn.gov
jobsnd.gov,State or territory,Non-Federal Agency,"State of ND, ITD",Bismarck,ND,itsecur@nd.gov
kandrive.gov,State or territory,Non-Federal Agency,Kansas Department of Transportation,Topeka,KS,KISO@ks.gov
kansascommerce.gov,State or territory,Non-Federal Agency,Kansas Department of Commerce,Topeka,KS,(blank)
kansasemployer.gov,State or territory,Non-Federal Agency,Kansas Deptment of Labor,Topeka,KS,KISO@ks.gov
kansas.gov,State or territory,Non-Federal Agency,"State of Kansas, DISC",Topeka,KS,(blank)
